run,4
addSelectionToolTo,2
canUngroup,8
getDefaultValue,128
addActionListener,1
drawStroke,23
updateEnabled,39
findConnector,3
addUndoableEditListener,2
validateHandles,360
invalidate,364
addNewWindowItems,1
getEndPoint,5
setEndConnector,1
installUI,1
getAnchor,12
addFigureSelectionListener,231
getCanvasViewBounds,27
south,4
initView,1
setVerbose,1
getPreferredSize,19
toolDone,6
initApplication,1
setDrawing,2
setStartPoint,19
getBorder,1
setModel,1
getActionMap,23
getDrawing,507
addOpenFileItems,1
values,4
addAlignmentButtonsTo,2
addPropertyChangeListener,262
getHandleAttribute,128
installBorder,1
initLabels,1
lineout,3
init,4
createApplicationListener,7
size,231
createOpenRecentFileMenu,1
updateConnection,2
getToolTipTextProperty,263
findHandle,82
getOpenURIsFromMainArgs,1
updateActiveView,1
currentSegment,14
getSelectionCount,197
getRealRedoAction,3
getSecondaryHandles,120
setColumnCount,4
addOtherFileItems,1
getPerpendicularDrawGrowth,162
installSheet,1
updateUI,1
createStrokeDashesButton,4
addClipboardItems,1
setActionMap,18
maybeFireBoundsInvalidated,2
getStringRecursive,1447
initComponentDefaults,1
addPrintFileItems,1
basicCreateView,1
getStrokeTotalMiterLimit,23
setValue,1
fireFigureAdded,6
getSelectAreaTracker,1
addFindItems,1
getCursor,17
addLoadFileItems,1
views,5
grow,61
createMenuBuilder,1
showSheet,1
setActiveView,10
addDisposable,1
isShowAsSheet,6
getKey,49
createView,2
addNewFileItems,1
willChange,18
getPathIterator,7
fireFigureChanged,16
addCloseFileItems,1
setTo,8
center,16
draw,172
getLabels,1
createStrokeCapButton,3
getScaleFactor,1
invalidatePath,169
getSelectedFont,1
updateApplicationEnabled,6
compare,12
fireSelectionChanged,4
installToolBarPrefsHandler,3
isDocumentModalitySupported,3
focusLost,4
loadAllFonts,1
createStrokeTypeButton,1
addStrokeButtonsTo,1
start,2
getIconProperty,147
setTool,7
isDrawingDoubleBuffered,27
setPoint,48
setPopupAlpha,3
getIconWidth,3
put,72
remove,34
styleFromMessageType,1
launch,2
addOtherEditItems,1
setInputMap,17
basicGetBounds,21
getChildCount,26
setViewRenderingHints,42
